model,flux,heat-storage-density,nussult number,hydraulic diameter,melting-time,percentage change,temp-uniformity,khatamata
case-1,21.79,330.24,1.48,3.9048,3811,0,9.505,0.0866
case-2,302.9153,238.681,2.2311,4.8,314.2,-91.77,5.33,0.816
