Time Step,flow-time,q,pcm-avg-temp,nussult-number,nussult-number-nshadow,temp-uniformity-index,flux,htf-t-avg,flux-co
"(""Time","Step""","""flow-time""","""q""","""t-avg""","""nussult-number""","""nussult-number-nshadow""","""temp-unifprmity-index""","""flux""","""htf-t-avg"""
0,0,0,299.9999999999994,0,0,0,0,300.0000000000003,0
1,0.1,0,300.0023083653376,-2636.464171116002,-5272.928342232006,0.0003684097085243244,44.52856682526902,303.2559136244895,-0.001507117808309033
2,0.2,0,300.0089171797363,-2357.592290060118,-4715.184580120236,0.002128105379312102,85.28891832691536,306.3988980550583,-0.0005587725749194306
3,0.3,0,300.0158460184758,-2253.251788793781,-4506.503577587562,0.004360222336647277,116.2082885408757,308.4373770326115,-0.0009907259718175965
4,0.4,0,300.0292229491769,-2054.075763330679,-4108.151526661359,0.009489258615521809,160.7291104055306,311.0732060962243,-0.0007542144325327627
5,0.5,1.079762404533947e-08,300.0500549705311,-1805.603346641663,-3611.206693283326,0.01903608202202192,207.8258272390723,313.8208773085047,-0.001732306180485921
6,0.6000000000000001,9.624503492944751e-07,300.0793439318787,-1543.170759427849,-3086.3415188557,0.03493650645162995,249.793229030506,316.5269218662249,-0.0008811182260615169
7,0.7000000000000001,5.524105922311038e-06,300.1175797362709,-1286.854064283557,-2573.708128567114,0.05922835924736444,284.0194994830559,319.1520554026413,-0.0001710538543306939
8,0.8,1.856635935880555e-05,300.1646847014114,-1046.552792762051,-2093.105585524102,0.09372733181720729,311.2708752726516,321.6914529697444,0.001176206625814302
9,0.9,4.605536602436317e-05,300.220216582778,-823.3500158380931,-1646.700031676187,0.1396905840241183,333.0393164740315,324.145701836675,0.002520385492175592
10,1,9.829962549184909e-05,300.2832875481424,-612.9426754041567,-1225.885350808314,0.1976260340267804,349.8782562689265,326.5122069586036,0.003406683853313552
11,1.1,0.0001853856415881701,300.3528979328079,-426.3400447477561,-852.6800894955123,0.2673101462171944,361.8551956163255,328.7811118146519,0.002473066469519836
12,1.2,0.0003210494372690255,300.4277224917906,-269.3629850688312,-538.7259701376626,0.3479550091006793,369.2799014044646,330.9306123452553,0.001720305806315992
13,1.3,0.0005075259995005277,300.5070245451182,-134.8879808343413,-269.7759616686826,0.4384274588313832,372.267855540364,332.9309683008361,0.001487594150091809
14,1.4,0.0007398658648579374,300.5903266464042,-23.94661685723622,-47.89323371447245,0.5374462721748726,371.3449008688538,334.7526838373081,0.002298076993724862
15,1.5,0.001014574232162227,300.6769209049797,65.37169770662672,130.7433954132535,0.643717490358287,367.2283858302686,336.3755076743419,0.002674926087365748
16,1.6,0.00132736504946905,300.7660984237919,136.5807285724615,273.1614571449231,0.7559803815329403,360.3987097334661,337.7930807707417,0.002154977380087075
17,1.7,0.00167208406328109,300.8572571441418,192.7481779688723,385.4963559377447,0.8729781550655455,351.2490089262312,339.0123002839651,0.0008042643620456147
18,1.8,0.002043891173204065,300.9497498951728,235.1664311880389,470.3328623760779,0.993442538058997,340.6920020193637,340.051061401678,0.0008911667454754024
19,1.9,0.00244408531113092,301.0426651483462,266.8550081621906,533.7100163243812,1.116122525233182,329.4297292493845,340.9369676545155,0.0005514623319413658
20,2,0.00287881323473051,301.1349856358717,290.9730547066757,581.9461094133515,1.239842356889939,318.0330918042858,341.7010444333409,0.0001656863519770013
21,2.1,0.003356283447236504,301.2257746098634,310.021878200262,620.0437564005241,1.363564866289843,306.9701777581524,342.3700621337065,7.380408527524196e-05
22,2.2,0.003880696911607222,301.3144964691386,325.2868408129529,650.5736816259059,1.486440441484796,296.5535842620137,342.963554623537,0.0002598501951638355
23,2.3,0.004450211451135707,301.4010522650727,337.2702127194009,674.5404254388021,1.607828434377119,286.9381352363182,343.4939187384807,0.0001524678812643288
24,2.4,0.005060449303217488,301.485506415968,346.5011598028438,693.0023196056877,1.727289048654997,278.1057746620691,343.9678368609175,4.801289719580382e-06
25,2.5,0.00570478294734602,301.5680564070699,353.3711208980595,706.7422417961192,1.844555906650304,269.9295415931795,344.3898849972725,0.0003602325852511967
26,2.6,0.006380670740452605,301.6486645480009,358.7352861724091,717.4705723448183,1.959496884901877,262.3406208897228,344.7655015981545,-0.0001568520600585543
27,2.7,0.007088563446296575,301.7271665819163,363.2754787852721,726.5509575705443,2.072054866892899,255.3422158016336,345.1005909359124,-0.0002752979050342219
28,2.8,0.007830138568259488,301.8033795657822,367.3134114306471,734.6268228612943,2.182227410658513,248.9351954881785,345.4001913701236,-0.0003958202752016859
29,2.9,0.008601759449824699,301.8774629803534,370.3322439891904,740.6644879783809,2.290047513066364,243.0854296329909,345.6682802953437,-0.0001977270474640136
30,3,0.009398316227627379,301.9496333687904,372.0808098466662,744.1616196933326,2.395516387908529,237.725003047768,345.9082718627764,-0.0003193441821736087
31,3.1,0.01021298764485937,302.0201757567406,372.3485121567076,744.6970243134153,2.498567344889243,232.759781464716,346.1236222406665,-0.0002961438030695263
