Time Step,flow-time,area-q,pcm-avg-temp,temp-uniformity-index,heat-storage-rate,heat-storage-rate-comb,heat-storage-rate-shadows,htf-avg-temp,temp-uniformity-1,temp-uniformity-2,temp-uniformity-3,temp-uniformity-4,temp-uniformity-5,temp-uniformity-6,temp-uniformity-index-cum1,temp-uniformity-index-cum2,temp-uniformity-index-cum3,temp-uniformity-index-cum4,temp-uniformity-index-cum5,temp-uniformity-index-cum6,Temp Response,heat-storage-rate-avg,temp-uniformity-index-cum,heat-storage-rate-avg-cum,latent-heat,sensible-heat,%_latent,%_sensible,total_%_latent,metal-area-q,enhamnt,enhamnt-%,enhmnt-cum,enhamnt-cum-avg
0.0,0.0,0.0,300.0000000000006,0.0,0.0,0,0,299.9999999999998,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,0.005936595460980243,,,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,
1.0,0.1,0.0,300.0005936595467,0.0,31.6673943072887,2.633432613421971e-05,-31.66736797296257,301.374748486786,0.0,0.0,3.814697265625e-06,0.0,0.0,0.0,0.0,0.0,3.814697265625e-06,0.0,0.0,0.0,0.012868998760495742,31.6673943072887,0.0,3.16673943072887,0.0,3.16673943072887,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0
2.0,0.2,0.0,300.0018805594228,0.0,47.88636887099391,-0.000204129025898836,-47.88657300001981,302.7335573794089,0.0,0.0,3.814697265625e-06,3.814697265625e-06,0.0,3.814697265625e-06,0.0,0.0,3.814697265625e-06,1.9073486328125e-06,0.0,1.9073486328125e-06,0.011896918076104157,39.776881589141304,0.0,7.955376317828261,0.0,7.955376317828261,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0
3.0,0.3,0.0,300.0030702512304,0.0,58.50103469040256,-0.0007259350102150064,-58.50176062541278,303.63261782048,0.0,0.0,0.0,3.814697265625e-06,0.0,3.814697265625e-06,0.0,0.0,2.5431315104166665e-06,2.5431315104166665e-06,0.0,2.5431315104166665e-06,0.020903318836076323,46.01826595622839,0.0,13.805479786868517,0.0,13.805479786868517,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0
4.0,0.4,0.0,300.005160583114,3.814697265625e-06,76.16909922657105,-0.001155696164536923,-76.17025492273559,304.8200484289778,0.0,3.814697265625e-06,0.0,7.62939453125e-06,0.0,5.394796609394436e-06,0.0,9.5367431640625e-07,1.9073486328125e-06,3.814697265625e-06,0.0,3.256047785161109e-06,0.03062115356897266,53.55597427381406,9.5367431640625e-07,21.422389709525625,0.0,21.422389709525625,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0
5.0,0.5,0.0,300.0082226984709,5.394796609394436e-06,101.5733807627553,-1.347425416797776e-05,-101.5733942370095,306.0873445729022,0.0,0.0,3.814697265625e-06,0.0,0.0,6.607249479556569e-06,0.0,7.62939453125e-07,2.288818359375e-06,3.0517578125e-06,0.0,3.9262881240402016e-06,0.04247480951789839,63.1594555716023,1.841898775003887e-06,31.579727785801154,0.0,31.579727785801154,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0
6.0,0.6000000000000001,7.88059786235934e-08,300.0124701794227,3.814697265625e-06,133.8123272951532,-0.001206671737246312,-133.8135339668905,307.3606078663302,0.0,0.0,3.814697265625e-06,0.0,5.394796609394436e-06,0.0,0.0,6.357828776041666e-07,2.5431315104166665e-06,2.5431315104166665e-06,8.991327682324059e-07,3.271906770033501e-06,0.05680231960297988,74.93493419219412,2.1706985234407393e-06,44.96096051531647,0.003591470492474645,44.957369044824,0.007987975459846258,99.99201202454016,7.880561376340754e-06,0.0,-7.88059786235934e-08,-100.0,-100.0,-16.666666666666668
7.0,0.7000000000000001,6.436664114878071e-07,300.018150411383,3.814697265625e-06,169.8652847025337,-0.002665194578801433,-169.8679498971125,308.612760445631,0.0,0.0,6.607249479556569e-06,0.0,5.394796609394436e-06,5.394796609394436e-06,0.0,5.449567522321428e-07,3.123719791722367e-06,2.1798270089285713e-06,1.5413704598269816e-06,3.575176747085063e-06,0.0727306264411709,88.49641283652834,2.405555486609919e-06,61.94748898556984,0.029334182053586087,61.91815480351625,0.04735330282785029,99.95264669717214,6.436634314062114e-05,0.0,-6.436664114878071e-07,-100.0,-200.0,-28.571428571428573
8.0,0.8,3.153155730573758e-06,300.0254234740271,0.0,206.1743837169926,-0.004222183690629322,-206.1786059006833,309.8346119202245,5.394796609394436e-06,7.62939453125e-06,0.0,0.0,5.394796609394436e-06,6.607249479556569e-06,6.743495761743044e-07,1.430511474609375e-06,2.733254817757071e-06,1.9073486328125e-06,2.0230487285229133e-06,3.9541858386440015e-06,0.09033611972085964,103.20615919658637,2.1048610507836794e-06,82.5649273572691,0.14370059178660588,82.42122676548249,0.17404556194277854,99.82595443805722,0.0003153141131922666,0.0,-3.153155730573758e-06,-100.0,-300.0,-37.5
9.0,0.9,8.117621661584449e-06,300.0344570859992,3.814697265625e-06,240.484168803403,-0.002309035756725031,-240.4864778391597,311.0243835525554,0.0,6.607249479556569e-06,6.607249479556569e-06,0.0,0.0,5.394796609394436e-06,5.994218454882706e-07,2.0057045862701743e-06,3.163698669068126e-06,1.6954210069444444e-06,1.7982655364648118e-06,4.114253702060717e-06,0.10931561354937003,118.45927137512156,2.294842852432715e-06,106.61334423760941,0.36994907208633016,106.24339516552308,0.34700071996787174,99.65299928003213,0.0008117584078180246,0.0,-8.117621661584449e-06,-100.0,-400.0,-44.44444444444444
10.0,1.0,1.539265600095393e-05,300.0453886473541,6.607249479556569e-06,272.4528473802103,-0.004952386590197477,-272.4577997668005,312.1829888800951,0.0,6.607249479556569e-06,0.0,0.0,0.0,9.344061823971473e-06,5.394796609394436e-07,2.4658590755988136e-06,2.8473288021613135e-06,1.52587890625e-06,1.6184389828183306e-06,4.637234514251793e-06,0.1283838699049511,133.85862897563044,2.7260835151451006e-06,133.85862897563044,0.7014984242792981,133.15713055135114,0.5240591732095277,99.47594082679048,0.0015392584735201924,3.027705258003605e-07,-1.508988547515357e-05,-98.03301960505324,-498.03301960505325,-49.80330196050532
11.0,1.1,2.602163430606998e-05,300.0582270343446,8.529922399520072e-06,302.6150439718848,-0.02394979577198519,-302.6389937676568,313.3118828566402,0.0,1.1444091796875e-05,0.0,0.0,3.814697265625e-06,1.52587890625e-05,4.904360553994941e-07,3.282062050260285e-06,2.5884807292375577e-06,1.3871626420454546e-06,1.818098826709846e-06,5.602830382274357e-06,0.14741160060907532,149.2001212480172,3.2537052319064615e-06,164.12013337281894,1.1858990067567905,162.93423436606216,0.7225798458638075,99.2774201541362,0.0026021513829698837,1.927459451657509e-06,-2.409417485441247e-05,-92.59285781597546,-590.6258774210287,-53.69326158372988
12.0,1.2,4.102637116565616e-05,300.0729681944055,1.47742589805886e-05,331.232728597138,-0.05426082752318528,-331.2869894246612,314.4125067463063,0.0,1.789251617364284e-05,0.0,0.0,0.0,2.191376741996013e-05,4.4956638411620295e-07,4.499599893875498e-06,2.3727740018010945e-06,1.2715657552083333e-06,1.6665905911506922e-06,6.9620751354148385e-06,0.16702404863906395,164.36950519377726,4.2137513776299735e-06,197.24340623253272,1.8697185674013534,195.37368766513137,0.9479244975100048,99.05207550249,0.004102618121954205,4.910251759518345e-06,-3.611611940613782e-05,-88.03147434197449,-678.6573517630031,-56.554779313583595
13.0,1.3,6.026031496174941e-05,300.0896705992694,2.018548058368371e-05,358.0722888865906,-0.1304118199575957,-358.2027007065482,315.4864489533063,3.814697265625e-06,2.6702880859375e-05,0.0,0.0,3.814697265625e-06,3.214321049948257e-05,7.084226057707258e-07,6.207544583529305e-06,2.190252924739472e-06,1.1737530048076924e-06,1.8318295661102543e-06,8.899085548035433e-06,0.18687572475698744,179.26971932399368,5.442345931941799e-06,233.0506351211918,2.7462782244741692,230.30435689671762,1.1784040936194144,98.8215959063806,0.006026003596528112,8.757969505231756e-06,-5.1502345456517656e-05,-85.46643921328501,-764.1237909762881,-58.77875315202216
14.0,1.4,8.374338334858248e-05,300.1083581717451,2.829055209005609e-05,382.6757277061062,-0.300243406812875,-382.9759711129191,316.535602008754,3.814697265625e-06,3.79557585566185e-05,0.0,0.0,3.814697265625e-06,4.779801973778407e-05,9.302993671888883e-07,8.475274153035676e-06,2.033806287258081e-06,1.0899135044642857e-06,1.9734629732184503e-06,1.1677580847303193e-05,0.20656028116889047,193.79871992271597,7.0743606575213914e-06,271.3182078918024,3.8164856967639085,267.5017221950385,1.4066456233876736,98.59335437661233,0.008374299562893294,1.356062931327408e-05,-7.01827540353084e-05,-83.80692447446522,-847.9307154507533,-60.566479675053806
15.0,1.5,0.000111740936591463,300.129014199862,4.019032956257911e-05,404.991295009603,-0.386376582866049,-405.3776715924691,317.5621031708311,0.0,5.488393619513763e-05,0.0,0.0,5.394796609394436e-06,6.866455078125e-05,8.682794093762957e-07,1.1569184955842475e-05,1.8982192014408755e-06,1.0172526041666667e-06,2.2015518822968494e-06,1.547671217623298e-05,0.22520928337712576,207.87822492850847,9.282091917858572e-06,311.81733739276274,5.092434401285031,306.72490299147773,1.6331466504925733,98.36685334950744,0.01117404192472259,1.9646536409522e-05,-9.2094400181941e-05,-82.41778079831936,-930.3484962490726,-62.023233083271506
16.0,1.6,0.0001455959338209098,300.1515351281997,5.593444175191948e-05,425.1103596526486,-0.3666871533063336,-425.4770468059549,318.5681200785506,0.0,7.695862198574835e-05,3.814697265625e-06,0.0,1.206313194339134e-05,9.620300455412668e-05,8.140119462902772e-07,1.5656024770211592e-05,2.0179990804523834e-06,9.5367431640625e-07,2.8179006361152553e-06,2.0522105449851336e-05,0.24301009873454404,221.45523334876722,1.219786378248738e-05,354.3283733580276,6.635327792066005,347.6930455659616,1.8726492968039576,98.12735070319604,0.01455952597329738,2.697233485803504e-05,-0.00011862359896287476,-81.47452737848273,-1011.8230236275554,-63.23893897672221
17.0,1.7,0.0001862601106489249,300.1758361380732,7.7053107745072e-05,443.2376115953341,-0.3218360421528637,-443.5594476374869,319.5555961433531,0.0,0.0001062651693510751,6.607249479556569e-06,0.0,1.748113897306763e-05,0.0001324200054756911,7.661288906261433e-07,2.0985974451438855e-05,2.287954986282041e-06,8.975758272058823e-07,3.680444067700689e-06,2.7104334863136026e-05,0.2594776787623232,234.50125559856528,1.6012878133227654e-05,398.652134517561,8.488539867207521,390.1635946503535,2.129310025513884,97.87068997448611,0.01862592482917818,3.527625186684898e-05,-0.0001509838587820759,-81.06075866488668,-1092.883782292442,-64.28728131132011
18.0,1.8,0.0002353327665786708,300.2017839059494,0.0001040510688551777,459.6838059263723,-0.2775271904809671,-459.9613331168532,320.526097805038,0.0,0.0001432925412826,0.0,0.0,2.642899791822628e-05,0.0001785995469775334,7.235661744802465e-07,2.77807837198367e-05,2.160846375933039e-06,8.477105034722222e-07,4.944252614952111e-06,3.55207355361581e-05,0.2745274087646976,247.01139728344344,2.0903888728891545e-05,444.6205151101982,10.724956428961615,433.8955586812366,2.4121595977872183,97.58784040221279,0.02353316770222888,4.44839852534524e-05,-0.00019084878132521842,-81.09741116795074,-1173.9811934603927,-65.22117741446625
19.0,1.9,0.0002946422893269135,300.2292366468259,0.0001380688558262166,474.7581417637065,-0.2447497872475211,-475.0028915509541,321.4807307707243,0.0,0.0001902000558825365,3.814697265625e-06,3.814697265625e-06,3.814697265625e-05,0.0002365419921558761,6.85483744244444e-07,3.632916646524195e-05,2.247891159601037e-06,1.003867701480263e-06,6.6917641960730525e-06,4.6100801674037994e-05,0.2882646182109738,258.99806804556255,2.7070465944540235e-05,492.09632928656885,13.427903649380951,478.6684256371879,2.728714450857305,97.27128554914269,0.029464092517609244,5.483005424339103e-05,-0.00023981223508352247,-81.3909760310898,-1255.3721694914825,-66.07221944692013
20.0,2.0,0.0003657771823291202,300.258063108647,0.000180665286807474,488.6073902956395,-0.2236046314158351,-488.8309949270554,322.4201448278957,0.0,0.0002486000482197741,0.0,3.814697265625e-06,5.272016510423757e-05,0.0003084484102132194,6.512095570322218e-07,4.694271055296856e-05,2.1354966016209852e-06,1.1444091796875e-06,8.993184241481279e-06,5.921818210099707e-05,0.30118894855945655,270.4785341580664,3.475020698768692e-05,540.9570683161328,16.669775315273565,524.2872930008592,3.0815338760915916,96.9184661239084,0.03657754888341208,6.621201509664471e-05,-0.0002995651672324755,-81.89826531140255,-1337.2704348028851,-66.86352174014425
21.0,2.1,0.0004493029144384603,300.2881820035029,0.0002325401405964382,501.3882644788627,0.004151344437651971,-501.384113134425,323.3445654917371,3.814697265625e-06,0.0003199573778357999,0.0,7.62939453125e-06,7.207658244205927e-05,0.000396490025362615,8.018518288699731e-07,5.9943408995008154e-05,2.033806287258081e-06,1.4532180059523809e-06,1.1997155584365944e-05,7.527874606583602e-05,0.31370137122053166,281.47423560191385,4.4168775254770314e-05,591.0958947640191,20.47634186609141,570.6195528979277,3.4641319703744684,96.53586802962553,0.044930083423150476,7.862086597091621e-05,-0.0003706820484675441,-82.50159003104248,-1419.7720248339276,-67.60819165875846
22.0,2.2,0.0005447253852131362,300.319552140625,0.0002957559169952702,512.4688973806137,0.04837164063068755,-512.420525739983,324.2538165310388,3.814697265625e-06,0.0004066724930092879,0.0,0.0,9.7703922079969e-05,0.0005029183219810591,9.387993487224743e-07,7.570382190474815e-05,1.941360546928168e-06,1.3871626420454546e-06,1.5892917697802447e-05,9.471690860743707e-05,0.32603686702202594,291.9739929554911,5.560455442479304e-05,642.3427845020805,24.825085376316295,617.5176991257641,3.8647722018952466,96.13522779810475,0.054472286321406,9.220579922343693e-05,-0.0004525195859896992,-83.0729755347533,-1502.845000368681,-68.31113638039459
23.0,2.3,0.0006507578073466283,300.3521558273272,0.0003715757953456397,521.8277579741838,0.09584416529657602,-521.7319138088873,325.1471761533675,3.814697265625e-06,0.0005105712579072227,3.814697265625e-06,0.0,0.000130035862343287,0.0006301067013536368,1.0638383885878015e-06,9.461110173094269e-05,2.0228099694802046e-06,1.326851222826087e-06,2.085565442151917e-05,0.0001179947256833588,0.3386320136809218,301.96763491282553,6.934243446482985e-05,694.5255602994988,29.65736234297835,664.8681979565205,4.270161393367476,95.72983860663253,0.06507547944329042,0.0001067833143051506,-0.0005439744930414777,-83.59092843764037,-1586.4359288063213,-68.97547516549223
24.0,2.4,0.0007649945536956533,300.3860190286953,0.0004617044576136839,529.3084056151687,0.1421100504636392,-529.166295564705,326.0232330173804,3.814697265625e-06,0.0006340550149743246,5.394796609394436e-06,0.0,0.0001703423581067361,0.0007805974291255418,1.1784575084643516e-06,0.00011708793144941693,2.1633094128099638e-06,1.2715657552083333e-06,2.7084267075069874e-05,0.00014560317166011644,0.34922480273735346,311.44016702542314,8.569085209603211e-05,747.4564008610156,34.863539727418605,712.592861133597,4.664290744886034,95.33570925511397,0.07649910118824571,0.0001224911486141397,-0.0006425034050815136,-83.98797115320747,-1670.4238999595286,-69.60099583164703
25.0,2.5,0.0008882442067465124,300.420941508969,0.0005678391828943761,534.9806290601439,0.185515545309876,-534.795113514834,326.879709678429,5.394796609394436e-06,0.0007792820582499031,5.394796609394436e-06,3.814697265625e-06,0.0002198338246799303,0.0009570937841771124,1.3471110725015548e-06,0.00014357569652143637,2.292568900673343e-06,1.373291015625e-06,3.4794249379264295e-05,0.00017806279616079627,0.3581389992626782,320.381785506812,0.00010497678532796586,800.95446376703,40.48046752745452,760.4739962395755,5.05402858198302,94.94597141801698,0.08882400943054006,0.0001394889901428129,-0.0007487552166036995,-84.29609908138468,-1754.7199990409133,-70.18879996163653
26.0,2.6,0.001021128445884844,300.4567554088953,0.0006916709948001207,539.0709912793368,0.2268935956589893,-538.8440976836778,327.7134272420319,0.0,0.0009487482639593392,3.814697265625e-06,3.814697265625e-06,0.0002804256584089524,0.001162306394224816,1.295299108174572e-06,0.00017454387219212493,2.3511122993253298e-06,1.4671912560096155e-06,4.424161126502152e-05,0.00021591831916325857,0.3669262715163768,328.79290880575525,0.00012754194723074103,854.8615628949636,46.53647789768017,808.3250849972835,5.443744334472795,94.55625566552722,0.10211237182090885,0.0001576097382088811,-0.0008635187076759629,-84.56514076715328,-1839.2851398080666,-70.74173614646409
27.0,2.7,0.001161991776266857,300.4934480360469,0.000835157379666163,541.8200847494282,0.2644237427746745,-541.5556610066536,328.5205245147234,0.0,0.001144917693011723,5.394796609394436e-06,0.0,0.0003532871026710464,0.001399006092302715,1.2473250671310693e-06,0.00021048364333359153,2.463841347846408e-06,1.4128508391203703e-06,5.568774057635578e-05,0.0002597363848350903,0.3747347261315781,336.6828042110764,0.00015374992620983074,909.0435713699064,52.95612401304794,856.0874473568585,5.8254769827198,94.17452301728021,0.11619863964144289,0.000176738588956184,-0.000985253187310673,-84.79003099970348,-1924.07517080777,-71.26204336325074
28.0,2.8,0.001310315899218151,300.5309215086601,0.001000156590096354,543.4567572157896,0.2893515954922385,-543.1674056202974,329.2968748056998,0.0,0.00137044824310659,3.814697265625e-06,0.0,0.0004401968913803606,0.001670066446604862,1.2027777433049596e-06,0.0002519109504683415,2.512086202052786e-06,1.3623918805803572e-06,6.942021024792738e-05,0.00031010531561258216,0.38131285202041454,344.0675882469591,0.00018397873563434942,963.3892470914855,59.71578514797445,903.673461943511,6.198510656856409,93.8014893431436,0.13103098326466692,0.0001968922539064919,-0.001113423645311659,-84.97368046713201,-2009.048851274902,-71.75174468838937
29.0,2.9,0.001466038697109944,300.5690527938621,0.001188625633917976,543.7732105826202,-0.0423758197595987,-543.8155864023798,330.0386288026498,0.0,0.001627937421854705,0.0,0.0,0.0005428007255234131,0.001978375705297889,1.161302648708237e-06,0.00029936013913683674,2.425462539913035e-06,1.3154128502155173e-06,8.574367629190964e-05,0.0003676318807741444,0.38667161118212334,350.9539890171543,0.00021862173212688825,1017.7665681497474,66.81263037979711,950.9539377699502,6.5646320551931066,93.43536794480688,0.1466031909564623,0.0002181312339650598,-0.0012479074631448841,-85.12104527697188,-2094.169896551874,-72.2127550535129
30.0,3.0,0.001629408653341921,300.6077199549803,0.00140255374385479,543.8428623876088,0.06632280925946787,-543.7765395783493,330.7427922060158,5.394796609394436e-06,0.001920111868228865,3.814697265625e-06,0.0,0.0006628907784476971,0.002326912175806475,1.3024191140644434e-06,0.0003533851967732377,2.4717703641034336e-06,1.2715657552083333e-06,0.00010498191303043589,0.00043294122394188874,0.39150274620055825,357.38361812950274,0.0002580861325178183,1072.1508543885082,74.25798398636167,997.8928704021465,6.926076091103249,93.07392390889675,0.16294011094175329,0.0002404495008291296,-0.0013889591525127914,-85.24314325102134,-2179.413039802895,-72.64710132676318
31.0,3.1,0.001799781242924707,300.6468702296004,0.00164397519926197,543.123233096049,0.05459571896767557,-543.0686373770814,331.4076441426464,5.394796609394436e-06,0.002249727212741096,5.394796609394436e-06,3.814697265625e-06,0.0008022844348366248,0.002718634942788096,1.434431291333153e-06,0.00041455751986897504,2.5660615333063693e-06,1.353602255544355e-06,0.0001274755427661194,0.0005066732793885405,0.3963164753650972,363.37521861229453,0.000302792231445049,1126.463177698113,82.02247265714732,1044.4407050409657,7.281416230999871,92.71858376900013,0.17997729102000803,0.0002641081861872352,-0.0015356730567374717,-85.32553957735162,-2264.738579380247,-73.05608320581442
32.0,3.2,0.001975785688463849,300.6865018771369,0.001914951430664173,541.7938906133193,0.07209453239360641,-541.7217960809256,332.0329677213198,3.814697265625e-06,0.002619569583125128,0.0,0.0,0.0009627709469113158,0.003156523110829678,1.5088146030297732e-06,0.0004834641468457298,2.4858721103905453e-06,1.3113021850585938e-06,0.00015357852414565678,0.0005894810866210761,0.40097060295011033,368.9508021123265,0.00035317220642064665,1180.642566759445,90.04362516027663,1090.5989415991683,7.626662606907596,92.3733373930924,0.19757765408643133,0.0002892359863518297,-0.0016865497021120194,-85.36096358827726,-2350.099542968524,-73.44061071776638
33.0,3.3,0.002156201512826787,300.7265989374319,0.002217537035871351,539.830019508856,0.08379082027421347,-539.7462286885818,332.6199964063437,0.0,0.003032470791574626,3.814697265625e-06,0.0,0.001146314941506708,0.003643583086869826,1.4630929483925073e-06,0.0005607067724435751,2.526139539337044e-06,1.2715657552083333e-06,0.00018366144588387044,0.0006820296320831594,0.40520434514519366,374.12896021525165,0.00040966811034339525,1234.6255687103305,98.26581998473111,1136.3597487255995,7.959159641200203,92.0408403587998,0.21561915299283008,0.0003159779648660192,-0.001840223547960768,-85.3456199253023,-2435.4451628938264,-73.8013685725402
34.0,3.4,0.002340172157477182,300.7671193719464,0.002553827996971794,537.2697830986506,0.09700931680868408,-537.1727737818419,333.1711250518406,3.814697265625e-06,0.00349121919044106,0.0,0.0,0.001354749333368554,0.004182811637907897,1.5322577812522866e-06,0.0006468983141493835,2.451841317591837e-06,1.2341667624080883e-06,0.00021810520728047876,0.0007849938087250635,0.4085937838618747,378.9272197118222,0.0004727316364207011,1288.3525470201957,106.65002069238682,1181.702526327809,8.278015279207192,91.72198472079282,0.23401613228214466,0.0003444929591319448,-0.001995679198345237,-85.27916170478137,-2520.724324598608,-74.13895072348846
35.0,3.5,0.002527520035942193,300.8079787503326,0.002925895183532343,534.1759261865029,0.1146207073495482,-534.0613054791535,333.6894654895371,0.0,0.003998667135772831,3.814697265625e-06,0.0,0.001590042515111224,0.004777163220934072,1.4884789875022212e-06,0.0007426631376243392,2.490780058964213e-06,1.1989048549107143e-06,0.0002573034160756429,0.0008990557919310352,0.41128229273169836,383.36289703967026,0.0005428220234810337,1341.7701396388459,115.18813403209438,1226.5820056067514,8.58478890155498,91.41521109844501,0.2527508333893108,0.0003748851507280157,-0.002152634885214177,-85.16786631175928,-2605.892190910367,-74.45406259743906
36.0,3.6,0.002718005602001325,300.8491069796058,0.003335801716041107,530.6236699271429,0.1330808843422489,-530.4905890428007,334.1783627241394,0.0,0.004557621431624597,5.394796609394436e-06,0.0,0.001854135165818697,0.005429580712297448,1.447132348960493e-06,0.0008486342013465686,2.5714471853650526e-06,1.1656019422743056e-06,0.00030165985356850556,0.0010249037063856578,0.41337335348941906,387.4534740643223,0.0006204047927188135,1394.8325066315601,123.86924302524996,1270.9632636063102,8.880581893261652,91.11941810673835,0.27179930180318546,0.0004071197369748544,-0.0023108858650264705,-85.02137976922918,-2690.913570679596,-74.74759918554433
37.0,3.7,0.002911371294727217,300.8904443149547,0.003785606084682748,526.6885535032688,0.1479018570182795,-526.5406516462506,334.6409807442702,0.0,0.005170865412256324,0.0,0.0,0.002148961550565061,0.006142972723502221,1.4080206638534524e-06,0.0009654512611008862,2.5019486127876185e-06,1.1340991870777028e-06,0.00035158692646030434,0.0011632298960374567,0.4145545704449205,391.21658431942893,0.0007059507735827036,1447.5013619818872,132.68160969858312,1314.819752283304,9.166251112670345,90.83374888732966,0.29113578155027947,0.0004412656256269176,-0.0024701056691002993,-84.84337513301399,-2775.75694581261,-75.0204579949354
