Time Step,flow-time,area-q,pcm-avg-temp,heat-storage-rate,temp-uniformity-index,nussult-number-nshadow,nusult-number,flux-combined,htf-avg-temp
"(""Time","Step""","""flow-time""","""q""","""temp-unifprmity-index""","""nussult-number-nshadow""","""nussult-number""","""t-avg""","""htf-t-avg""","""flux"""
0,0,0,300,0,0,0,0,0,300.0000000000005
1,0.1,0,300.0024779443501,45.21384109528521,0.0004721911108111173,62.60177897434276,31.30088948717138,-7.519465095384703e-05,303.2541421969099
2,0.2,0,300.0096191535563,87.39225396984695,0.002411495204875204,110.2242872991064,55.1121436495532,0.000196616573489905,306.3915447334393
3,0.3,0,300.017077144066,118.4512523512508,0.004754089328630552,140.9198472645211,70.45992363226055,8.844465763502285e-05,308.4259793424345
4,0.4,6.482599907557298e-08,300.0313552161549,162.0576900666031,0.009895574703308582,177.5501837998477,88.77509189992384,-1.319958462886461e-05,311.058116670899
5,0.5,1.295808233947042e-06,300.0533158248743,208.0701437320023,0.01903057268047588,204.0326566647405,102.0163283323703,0.0003155755370585211,313.8042130240795
6,0.6000000000000001,5.209395727592981e-06,300.0838577503129,250.3013417311733,0.03360031280931261,209.3509772313311,104.6754886156655,-7.496042744037368e-05,316.5088830827906
7,0.7000000000000001,1.559593245877096e-05,300.1233494262104,285.8395147356123,0.05500941876381316,187.776206670592,93.88810333529599,-0.001112179235690292,319.1299602315185
8,0.8,4.13160852457574e-05,300.1714088391497,313.6979304232729,0.08441056216727999,136.7907978756648,68.39539893783241,0.000825443796941272,321.6623460067937
9,0.9,9.285100183980142e-05,300.2272355017674,333.746187337827,0.1226002047981901,56.42467868948699,28.21233934474349,0.002261673869838887,324.1089387394874
10,1,0.0001806560567562749,300.2897584330192,346.8561446541241,0.1698538309382472,-48.77701988363051,-24.38850994181525,0.002856693580497449,326.4677087982377
11,1.1,0.0003167588691680638,300.3576422091998,354.4721544722286,0.2256634036897869,-173.1545469157356,-86.5772734578678,0.002593627271892274,328.725587132434
12,1.2,0.0005087826142098856,300.4297574625313,358.0320319886015,0.289175041690076,-309.292751792979,-154.6463758964895,0.001629952223538567,330.8577914284778
13,1.3,0.0007593567811568332,300.5052356173205,358.5628827550619,0.3594220489563637,-450.0976899267284,-225.0488449633642,0.0003720266245181847,332.8323081423605
14,1.4,0.001066638876404952,300.5834313989569,356.6044421157235,0.4354608389081052,-589.9723182563461,-294.986159128173,-0.0007468104049053181,334.6181152417519
15,1.5,0.001425440576513176,300.6638714758178,352.5992373656965,0.5164209880210027,-725.401500882241,-362.7007504411205,-0.001955870014853645,336.1940215842192
16,1.6,0.001825770909049245,300.7463420955487,346.7938045521512,0.6015171334095027,-853.1547168307214,-426.5773584153607,-0.002941096968129386,337.5552811552215
17,1.7,0.002257150940876815,300.8306154534378,339.3784599877015,0.6900471975332788,-971.2671729063885,-485.6335864531943,-0.005382295416950456,338.7151097840541
18,1.8,0.002710753606154038,300.9163947090055,330.905821605056,0.7813861728993312,-1078.989136594174,-539.494568297087,-0.005038615163698523,339.7001837788289
19,1.9,0.003184365815455708,301.003100492808,321.7229150371545,0.8749810553133929,-1179.041880112947,-589.5209400564737,-0.004294017587653798,340.5432622557149
20,2,0.003681197139012926,301.0899791208806,312.2349226167172,0.9703476001814179,-1273.574695660376,-636.7873478301881,-0.00370133973007114,341.2754713824152
21,2.1,0.004205182913645459,301.1763657225428,302.8004889553163,1.067047941907721,-1363.634672142767,-681.8173360713835,-0.003338464188516355,341.9214288041516
22,2.2,0.004758900386824608,301.2618020686215,293.695104677237,1.164712179787334,-1449.360577252976,-724.6802886264878,-0.003166944566430629,342.4980336742798
23,2.3,0.005344808692815487,301.3459394828372,284.9623107988667,1.263037826973058,-1531.948803514854,-765.9744017574268,-0.002740475124483055,343.0160265475967
24,2.4,0.005965519133995139,301.4284642219156,276.9574631604488,1.361784647620938,-1610.845278878018,-805.4226394390092,-0.003204428050651131,343.482014875404
25,2.5,0.006621313084721381,301.5092308410734,269.5780595226895,1.46076974334024,-1685.893917131469,-842.9469585657346,-0.002308258961249976,343.9008480916606
26,2.6,0.007306521488728976,301.5884570235269,262.7450079724033,1.55986114944661,-1755.323347416229,-877.6616737081146,-0.0024924694572519,344.2769417891575
27,2.7,0.008016449038588037,301.6662655318993,256.3847326367892,1.658973793445207,-1818.913135579658,-909.4565677898289,-0.001813327906461382,344.6146314909265
