Time Step,flow-time,area-q,pcm-avg-temp,heat-storage-rate,temp-uniformity-index,nusult-number,flux-combined,htf-avg-temp
"(""Time","Step""","""iters-per-timestep""","""q""","""pcm-avg-temp""","""nussult-number""","""htf-avg-temp""","""heat-storage-rate""","""heat-storage-rate-co"""
0,0,0,299.9999999999998,0,0,0,0,299.9999999999995
1,0.1,0,300.0039913644436,64.96027859606933,0.002350125978205268,38.8942201565478,-1.645571433073201e-05,303.8577372750224
2,0.2,0,300.0148942617803,126.7930864905541,0.009927214425764327,16.47449761734647,-0.0002354209182158229,307.5298459839799
3,0.3,0,300.0260079411229,170.0886427980588,0.01798811425008304,16.67917081606543,0.0002329581010940274,309.8909943013851
4,0.4,1.527484045047391e-07,300.046869099875,229.5237038810076,0.03338103258268398,17.16244066828025,0.0003071733794683951,312.9187015721033
5,0.5,1.887535462761256e-06,300.0785012924941,293.3671231854355,0.05675832170126274,17.68403489175296,-0.0009358512373296435,316.0349206665518
6,0.6000000000000001,8.349378490412925e-06,300.1221498876559,354.0516443191484,0.08833872317280364,17.9826399702157,-0.00103782665360086,319.0445246726429
7,0.7000000000000001,2.92817381885752e-05,300.1782009881443,404.86139916815,0.1270599816474454,18.10352476697405,-2.599216145426908e-06,321.8856407093991
8,0.8,7.293082303492822e-05,300.2463704146523,440.8269987243546,0.1724558089199533,18.20924762272951,6.457224230871361e-07,324.5409630580916
9,0.9,0.000144022457060849,300.325704135057,460.3200663357086,0.224343223258712,18.41429332841137,-0.000358399870606263,327.0020135998142
10,1,0.0002463963525751143,300.4145543816208,465.1353773134276,0.2824890537275122,18.68810630017735,-0.00111740746194755,329.2555632109215
11,1.1,0.0003857486952084031,300.5107407104917,458.811146233088,0.3464388835429079,18.94306590134229,-0.0003558535338470392,331.2836809522954
12,1.2,0.0005739388105973531,300.6116330773277,445.0528012839868,0.4156366991557424,18.97638120304409,-4.768400390275929e-05,333.0719975374375
13,1.3,0.0008284766032852954,300.7144889044874,427.3604154092144,0.4894967386272401,18.78487524975452,0.0001804689891287126,334.6133544398583
14,1.4,0.001162567939828935,300.8172149955325,408.5429051960535,0.5674448766352328,18.61688649382072,-0.0002082223066963707,335.9152135634458
15,1.5,0.001581395848582782,300.9185207818119,390.3531712879028,0.6489371280542836,18.56861173347103,0.0004920932256027299,337.0106744828159
16,1.6,0.002081776418525933,301.0178604970242,373.8239976999461,0.7334670133267354,18.64435596861407,3.984889593766638e-05,337.9479876352743
17,1.7,0.002657953321756164,301.1150161878213,359.1423234738437,0.8205830849407361,18.70467550096386,-7.94399144297131e-05,338.7715132737536
18,1.8,0.003297077168503524,301.2103024097373,346.0942999232582,0.9098888420517899,18.74432988931603,0.0003750262778794422,339.5108539575065
19,1.9,0.003987769541166833,301.303936811632,334.6198510471266,1.001045784214071,18.73276086896018,0.0003554414543600615,340.1810520214585
20,2,0.004720366140983668,301.3960714413246,324.3680449450568,1.093773091985951,18.70871134436281,0.0002714284005378431,340.7889065895622
21,2.1,0.00548841183942949,301.4867145773651,315.0740025084679,1.187842077940991,18.69648513670183,0.000104535201046474,341.3389245958617
22,2.2,0.006285019109996381,301.5759633990193,306.5504722277402,1.283070179178264,18.70445122983738,6.960771850117453e-05,341.8360164169445
23,2.3,0.007102573272130254,301.6640045881733,298.6739508328698,1.379312793464158,18.7157132456931,0.0001874225920914796,342.2857826027423
24,2.4,0.007933445820021021,301.7510480896505,291.2616886936897,1.476460333769236,18.71930049371963,0.001941148374442037,342.6940205060181
25,2.5,0.008773011751448611,301.8371309380761,284.4590191932896,1.574657032416816,18.71426161136387,0.00204779580496961,343.0660244401155
26,2.6,0.009619197339664631,301.9221689776669,278.1435312748034,1.674312019062538,18.70532570227986,0.001860895436095689,343.4066041582063
27,2.7,0.01046887986194255,302.0062043033004,272.2449063565588,1.775438793964814,18.7014632860616,0.001910082774372768,343.7199381747484
28,2.8,0.01132107305757369,302.0891754913059,266.7194745422869,1.877902466755672,18.69849421778783,0.001931553146960141,344.0095657757184
29,2.9,0.01217573133459771,302.1710099968982,261.5355624162956,1.981681398213157,18.69985482579629,0.002122724134892451,344.2783794156975
30,3,0.01303247645082494,302.2516947780211,256.6700887963094,2.086609138171635,18.69928137621087,0.001807014886026082,344.5287649068581
31,3.1,0.01389070718528522,302.3312507040407,252.0999275449635,2.192350856541077,18.70027261360958,0.001926133697850219,344.7626831829321
32,3.2,0.01474958136419371,302.4097124650285,247.696879877766,2.297182009143186,18.69953530393499,0.00313315573833961,344.9818363947535
33,3.3,0.01560735027389481,302.4871829216198,243.6282831495639,2.400641440020549,18.69733728760107,0.002924387540133466,345.187545278007
34,3.4,0.01646263684555202,302.563728237605,239.7870721883539,2.502464332338893,18.69419420004282,0.002871570008011304,345.3810444097762
35,3.5,0.01731435960543056,302.6393819680181,236.1224232420174,2.602118961929823,18.69117413697038,0.002519939898718349,345.5634750108338
36,3.6,0.01816213430782274,302.7141289292834,232.6034496638281,2.699662723093468,18.68871294641558,0.002566175566926177,345.7358535198642
37,3.7,0.01900479326847559,302.7880148494433,229.2083868192915,2.795305305991441,18.68657011352592,0.002266938897861337,345.8990846423191
38,3.8,0.01984145803255286,302.861066173549,225.9217254387557,2.889280306881321,18.6849453579035,0.002424486062466258,346.0539784473524
39,3.9,0.02067077464906519,302.9333441725762,222.7275690146342,2.981793511285002,18.68394602487281,0.002033157771023753,346.2012620776758
40,4,0.02149170667469726,303.004887695141,219.6135351829599,3.073024036506949,18.68343872556233,0.001891253636586043,346.3415923535205
