Time Step,flow-time,area-q,pcm-avg-temp,temp-uniformity-index,heat-storage-rate,heat-storage-rate-comb,heat-storage-rate-shadows,htf-avg-temp,temp-uniformity-1,temp-uniformity-2,temp-uniformity-3,temp-uniformity-4,temp-uniformity-5,temp-uniformity-6
"(""Time","Step""","""flow-time""","""q""","""pcm-temp-avg""","""temp-uniformity-index""","""heat-stoarge-rate""","""heat-storage-comb""","""heat-storage-rate-shadows""","""htf-avg-temp""","""temp-uniformity-1""","""temp-uniformity-2""","""nussult-number""","""temp-uniformity-4""","""temp-uniformity-5"""
0,0,0,300.0000000000007,0,0,0,0,300.0000000000002,0,0,0,0,0,0
1,0.2,0,300.0125325532553,0.04515840250367176,58.65349770096302,2.069557153316914e-06,-58.65349563140587,302.6972441693345,0,0.06364130103095141,5.394796609394436e-06,0,0.0008516007275925255,0.08102237390513997
2,0.4,0,300.0388544077231,0.1346537259467309,116.4988985116311,0.002182635017770052,-116.4967158766134,305.2830345458173,0,0.1895051615032938,1.945121579587091e-05,0,0.004592562818676114,0.2411372745481182
3,0.6000000000000001,0,300.0638514635651,0.2084631293567442,164.1820049186119,0.001679129376005228,-164.1803257892359,306.9457530197254,0,0.2931266707730044,4.840308204822357e-05,8.529922399520072e-06,0.009197205045469781,0.3728850079277987
4,0.8,0,300.108959431421,0.3176869113649187,237.6011459965587,0.004152354335215769,-237.5969936422235,309.0686312334457,0,0.4460825740602231,0.0001336233511973342,3.814697265625e-06,0.01944715680137614,0.5672417544875369
5,1,0,300.1753099179317,0.4423910135066629,323.0675166638256,-0.0008401224313150379,-323.068356786257,311.2352633513783,0,0.6200157383969521,0.0003477238324194938,1.009274029184185e-05,0.03782613857161408,0.7880642888898464
6,1.2,3.932813210279014e-06,300.2644790908931,0.5708428047889686,410.2731023180074,-0.01352274830132139,-410.2866250663088,313.3042708294719,3.814697265625e-06,0.7981462179488132,0.0008343206008177722,2.256805337180945e-05,0.06713505594313095,1.013875465995331
7,1.4,1.509763812116358e-05,300.3771030805426,0.6970066824638259,493.1091875788326,-0.1500779665790581,-493.2592655454117,315.2336132119907,0,0.9718037625884385,0.001834115807482394,5.7220458984375e-05,0.1096283825395941,1.233323247175558
8,1.6,3.135352820726011e-05,300.5128473674719,0.8186177170950419,567.8654233425507,-1.092148313916187,-568.9575716564668,317.0174376695336,8.529922399520072e-06,1.137746149956401,0.003701644322530407,0.0001343835064224894,0.1663469290114886,1.441705105287936
9,1.8,5.452387353079003e-05,300.6702426352682,0.935401299915396,634.7040085682113,-1.022975772993004,-635.7269843412042,318.6627909001138,1.9073486328125e-05,1.295652558545419,0.006894447699991544,0.0002953866681305838,0.2368473112695192,1.637875355431039
10,2,8.462035502735754e-05,300.847226761068,1.047830210425245,691.9966748244392,-0.8135872366540298,-692.8102620610932,320.1801082184114,3.776357626576105e-05,1.446345985631679,0.01193063630638444,0.0006072322290290492,0.3193571616532492,1.822207138149663
11,2.2,0.0001203585204297108,301.0412762150972,1.156426206138968,739.2241579867858,-0.595668939675825,-739.8198269264616,321.5788614669293,7.136645101116069e-05,1.590762651082445,0.01932198767535397,0.001172118112062664,0.4112434522201417,1.995506046239949
12,2.4,0.0001629799814161433,301.2495186565499,1.261518440850682,776.7427420080132,-0.4079740078791829,-777.1507160158924,322.8646998222175,0.000130091803779449,1.729560439172018,0.02950186366423132,0.002135818305444827,0.5095696958971159,2.158621677571873
13,2.6,0.0002140998374802205,301.4690523414546,1.363260933358868,805.3696834667029,-0.2610844055009878,-805.6307678722039,324.0383267621121,0.0002287546440210716,1.863103344497641,0.04276703635311312,0.003696051892970031,0.6115446338935743,2.312404676509089
14,2.8,0.0002752859240679704,301.6971544837069,1.461729446906762,826.1472847004402,-0.1399404715749313,-826.287225172015,325.096382937136,0.0003923578866301695,1.991571275783944,0.05924323536185446,0.006110212704981537,0.7148192423607056,2.457731799962923
15,3,0.0003463118307823658,301.9314090341571,1.556913937600553,840.0405478387733,-0.07624334680280498,-840.1167911855761,326.0341680956166,0.0006580325140411255,2.114946939575571,0.07888793465708381,0.009702392845262272,0.8175857326709338,2.595350298860585
16,3.2,0.0004279421164817343,302.1696502372122,1.648766355718172,848.4404744315633,-0.01950447233906516,-848.4599789039023,326.8488852673672,0.001078763742775834,2.233097661960073,0.1015141776502577,0.01486518952254286,0.9185572930215297,2.725868194625775
17,3.4,0.0005210723600006019,302.4101051972361,1.737315865345211,852.6701791314387,-0.02252817554171571,-852.6927073069803,327.5427483947727,0.00172514596445493,2.345947153034311,0.1268330369997278,0.02204846708303044,1.01696380355722,2.849877336486242
