Time Step,flow-time,area-q,pcm-avg-temp,heat-storage-rate,temp-uniformity-index,nussult-number-nshadow,nusult-number,flux-combined,htf-avg-temp
"(""Time","Step""","""flow-time""","""q""","""temp-unifprmity-index""","""nussult-number-nshadow""","""nussult-number""","""t-avg""","""htf-t-avg""","""flux"""
0,0,0,299.9999999999994,0,0,0,0,0,300.0000000000003
1,0.1,0,300.0023083653376,44.52856682526902,0.0003684097085243244,-5272.928342232006,-2636.464171116002,-0.001507117808309033,303.2559136244895
2,0.2,0,300.0089171797363,85.28891832691536,0.002128105379312102,-4715.184580120236,-2357.592290060118,-0.0005587725749194306,306.3988980550583
3,0.3,0,300.0158460184758,116.2082885408757,0.004360222336647277,-4506.503577587562,-2253.251788793781,-0.0009907259718175965,308.4373770326115
4,0.4,0,300.0292229491769,160.7291104055306,0.009489258615521809,-4108.151526661359,-2054.075763330679,-0.0007542144325327627,311.0732060962243
5,0.5,1.079762404533947e-08,300.0500549705311,207.8258272390723,0.01903608202202192,-3611.206693283326,-1805.603346641663,-0.001732306180485921,313.8208773085047
6,0.6000000000000001,9.624503492944751e-07,300.0793439318787,249.793229030506,0.03493650645162995,-3086.3415188557,-1543.170759427849,-0.0008811182260615169,316.5269218662249
7,0.7000000000000001,5.524105922311038e-06,300.1175797362709,284.0194994830559,0.05922835924736444,-2573.708128567114,-1286.854064283557,-0.0001710538543306939,319.1520554026413
8,0.8,1.856635935880555e-05,300.1646847014114,311.2708752726516,0.09372733181720729,-2093.105585524102,-1046.552792762051,0.001176206625814302,321.6914529697444
9,0.9,4.605536602436317e-05,300.220216582778,333.0393164740315,0.1396905840241183,-1646.700031676187,-823.3500158380931,0.002520385492175592,324.145701836675
10,1,9.829962549184909e-05,300.2832875481424,349.8782562689265,0.1976260340267804,-1225.885350808314,-612.9426754041567,0.003406683853313552,326.5122069586036
11,1.1,0.0001853856415881701,300.3528979328079,361.8551956163255,0.2673101462171944,-852.6800894955123,-426.3400447477561,0.002473066469519836,328.7811118146519
12,1.2,0.0003210494372690255,300.4277224917906,369.2799014044646,0.3479550091006793,-538.7259701376626,-269.3629850688312,0.001720305806315992,330.9306123452553
13,1.3,0.0005075259995005277,300.5070245451182,372.267855540364,0.4384274588313832,-269.7759616686826,-134.8879808343413,0.001487594150091809,332.9309683008361
14,1.4,0.0007398658648579374,300.5903266464042,371.3449008688538,0.5374462721748726,-47.89323371447245,-23.94661685723622,0.002298076993724862,334.7526838373081
15,1.5,0.001014574232162227,300.6769209049797,367.2283858302686,0.643717490358287,130.7433954132535,65.37169770662672,0.002674926087365748,336.3755076743419
16,1.6,0.00132736504946905,300.7660984237919,360.3987097334661,0.7559803815329403,273.1614571449231,136.5807285724615,0.002154977380087075,337.7930807707417
17,1.7,0.00167208406328109,300.8572571441418,351.2490089262312,0.8729781550655455,385.4963559377447,192.7481779688723,0.0008042643620456147,339.0123002839651
18,1.8,0.002043891173204065,300.9497498951728,340.6920020193637,0.993442538058997,470.3328623760779,235.1664311880389,0.0008911667454754024,340.051061401678
19,1.9,0.00244408531113092,301.0426651483462,329.4297292493845,1.116122525233182,533.7100163243812,266.8550081621906,0.0005514623319413658,340.9369676545155
20,2,0.00287881323473051,301.1349856358717,318.0330918042858,1.239842356889939,581.9461094133515,290.9730547066757,0.0001656863519770013,341.7010444333409
21,2.1,0.003356283447236504,301.2257746098634,306.9701777581524,1.363564866289843,620.0437564005241,310.021878200262,7.380408527524196e-05,342.3700621337065
22,2.2,0.003880696911607222,301.3144964691386,296.5535842620137,1.486440441484796,650.5736816259059,325.2868408129529,0.0002598501951638355,342.963554623537
23,2.3,0.004450211451135707,301.4010522650727,286.9381352363182,1.607828434377119,674.5404254388021,337.2702127194009,0.0001524678812643288,343.4939187384807
24,2.4,0.005060449303217488,301.485506415968,278.1057746620691,1.727289048654997,693.0023196056877,346.5011598028438,4.801289719580382e-06,343.9678368609175
25,2.5,0.00570478294734602,301.5680564070699,269.9295415931795,1.844555906650304,706.7422417961192,353.3711208980595,0.0003602325852511967,344.3898849972725
26,2.6,0.006380670740452605,301.6486645480009,262.3406208897228,1.959496884901877,717.4705723448183,358.7352861724091,-0.0001568520600585543,344.7655015981545
27,2.7,0.007088563446296575,301.7271665819163,255.3422158016336,2.072054866892899,726.5509575705443,363.2754787852721,-0.0002752979050342219,345.1005909359124
28,2.8,0.007830138568259488,301.8033795657822,248.9351954881785,2.182227410658513,734.6268228612943,367.3134114306471,-0.0003958202752016859,345.4001913701236
29,2.9,0.008601759449824699,301.8774629803534,243.0854296329909,2.290047513066364,740.6644879783809,370.3322439891904,-0.0001977270474640136,345.6682802953437
30,3,0.009398316227627379,301.9496333687904,237.725003047768,2.395516387908529,744.1616196933326,372.0808098466662,-0.0003193441821736087,345.9082718627764
31,3.1,0.01021298764485937,302.0201757567406,232.759781464716,2.498567344889243,744.6970243134153,372.3485121567076,-0.0002961438030695263,346.1236222406665
32,3.2,0.01103977308873788,302.0893017397982,228.1113792439938,2.5991329953555,742.5538405702551,371.2769202851275,-0.0002653311168785422,346.3177077028747
33,3.3,0.01187422626677177,302.1571349722387,223.7258067443543,2.697177152085586,738.325746213749,369.1628731068744,-0.0002782850797018455,346.4936403715444
34,3.4,0.01271291849070524,302.2237657357932,219.599134047905,2.792739272985771,732.5170808832114,366.2585404416056,-0.0002280023782077478,346.654054984222
35,3.5,0.01355301272002685,302.2892761479636,215.7020784350717,2.885948679239116,725.537273028621,362.7686365143105,-3.594025264419543e-05,346.8012377694571
36,3.6,0.01439277884964561,302.3537033686247,211.9900277617513,2.977010669776477,717.8317326914358,358.9158663457179,-0.0001891694342077699,346.9372354777668
37,3.7,0.01523139757726935,302.4170461819857,208.4347619801311,3.066180510003085,709.6923069728517,354.8461534864258,-9.523497158170358e-05,347.063750105701
38,3.8,0.01606843273673504,302.4793024661575,205.0612496585608,3.153734333629878,701.2894814742962,350.644740737148,3.995619761099078e-05,347.1819903559454
39,3.9,0.01690312093781405,302.5405141142099,201.8685689392159,3.239945093971033,692.7723649375479,346.3861824687739,-7.41723290786922e-05,347.2929508588035
40,4,0.01773447419925054,302.6007516711617,198.8226228803228,3.325066703016083,684.2822596129079,342.1411298064539,-8.184192125781919e-05,347.3975556590786
41,4.100000000000001,0.01856127646162665,302.6601066287175,195.8769761443916,3.409324088822595,675.9117704071953,337.9558852035976,-9.685468612019577e-05,347.4964785202677
42,4.2,0.01938240127649393,302.7186645408665,193.0303434474745,3.492906194132183,667.6269165614241,333.813458280712,-9.826178433058885e-05,347.5902257138665
43,4.3,0.02019739407820254,302.7764673437009,190.310596265185,3.575962462946034,659.3864629255088,329.6932314627543,-0.000105763450193308,347.6793622043931
44,4.4,0.02100566763497984,302.8335700729524,187.7167216544331,3.658603896478771,651.2085905682864,325.6042952841431,-0.0003063905829208124,347.7644928635434
45,4.5,0.02180705332709405,302.8900034216127,185.2387213574534,3.740907562638072,643.1510929661644,321.5755464830821,-0.0003362612656019337,347.8460667247033
46,4.600000000000001,0.02260149770263772,302.9457926894315,182.8476142726695,3.822922927443078,635.2778425417815,317.6389212708907,-0.0004220572714643822,347.924291605568
47,4.7,0.02338906302630863,303.000956544233,180.5260619390344,3.904677605599735,627.6259904559413,313.8129952279706,-0.0001605275296299169,347.9993648884998
48,4.800000000000001,0.02416979962174647,303.0555144198785,178.2891792513736,3.986181675249095,620.1426372320647,310.0713186160323,-0.0002623358301718781,348.0715989487453
49,4.9,0.02494345052879955,303.1095046611558,176.1282560117493,4.067430366981065,612.8017033297805,306.4008516648902,-0.0001851217381272363,348.1413724643746
50,5,0.02571054620618251,303.1629124506165,174.0184265655668,4.148406747686513,605.6886588082243,302.8443294041121,-0.0002885813866271292,348.2089080972291
51,5.100000000000001,0.02647125883222806,303.2157476137418,171.958882826981,4.229085220624871,598.7841803537285,299.3920901768642,-0.0002044767987854357,348.2741869907005
52,5.2,0.02722568630665424,303.2680239081737,169.9680319378977,4.309435217937523,592.024308358323,296.0121541791614,-0.0002520960560445928,348.3370742973032
53,5.300000000000001,0.02797411622370738,303.3197423718402,168.0540109048309,4.389424055957581,585.3997766646645,292.6998883323322,-0.0001117910843504433,348.3975888502316
54,5.4,0.02871658252617786,303.3709230029328,166.2041580581248,4.469018975554929,578.9431821318213,289.4715910659106,-0.0001945754618759565,348.4559627972558
55,5.5,0.02945328307267833,303.4215756138994,164.4168847403302,4.548189838440494,572.6630218423297,286.3315109211648,-7.909667289140998e-05,348.5124908834761
56,5.600000000000001,0.03018408829863673,303.4717294390347,162.6770467761266,4.626843169144675,566.5331033508623,283.2665516754311,-0.0002024661792177085,348.5674328660742
57,5.7,0.03090867185283182,303.5214228362309,160.9681420073537,4.704822131405338,560.5378790142232,280.2689395071116,-0.0001228548820222386,348.620913216494
58,5.800000000000001,0.0316270398711466,303.5706707596808,159.3052754041472,4.781951989329968,554.6596876991607,277.3298438495803,0.0001485313281648359,348.6728779407445
59,5.9,0.03233896935969759,303.6195042970373,157.7048562927308,4.858074583806012,548.8594667541857,274.4297333770928,-7.533094492373493e-05,348.7232166816009
60,6,0.0330443634857644,303.6679424213587,156.1406415925379,4.933023929454514,543.1466670204087,271.5733335102043,9.959060150777077e-06,348.7719188153494
