Time Step,flow-time,q,pcm-avg-temp,nussult-number,temp-uniformity-index,flux,htf-t-avg,flux-co
"(""Time","Step""","""flow-time""","""q""","""htf-temp-avg""","""nussult-number""","""pcm-temp-avg""","""heat-storage-rate-co""","""heat-storage-rate"""
0,0,0,299.9999999999989,0,0,0,299.9999999999995,0
1,0.1,0,300.0029599253844,-2531.772410003457,0.001977529643471974,51.34808183906817,303.3859460025332,-0.001785618993530136
2,0.2,0,300.0113603727876,-2257.111450918511,0.01028782267679501,97.48934621779512,306.6431482074688,-0.0006677298096917639
3,0.3,0,300.0201366394377,-2146.224993819091,0.02027541597275362,133.1119358381867,308.7485226952246,0.001635925228612223
4,0.4,1.785841292393044e-08,300.0369826546593,-1935.750084999981,0.04183655414028901,184.077223688598,311.4607522765565,0.003240610346495032
5,0.5,1.209713863160265e-06,300.0629116482529,-1675.099301659649,0.07901701264419862,236.7802443095237,314.2761521004363,0.004185574938219361
6,0.6000000000000001,9.340578000755811e-06,300.0986545571846,-1407.579610979399,0.1358784675022174,282.6039160662415,317.0374870228615,0.005269975783903647
7,0.7000000000000001,3.082836930099655e-05,300.1443908876951,-1143.445162424915,0.2145460463914274,319.1868049092924,319.705248561835,0.008389507865501855
8,0.8,7.654114446939654e-05,300.1995554848546,-893.5304474257072,0.3143398113327274,347.5852714033344,322.273763554447,0.007194481870101299
9,0.9,0.0001544806345996993,300.2634329423924,-674.8403544966272,0.4323353577472277,369.4811605261883,324.742349794427,0.005067480390550827
10,1,0.0002820801160394961,300.3346234930368,-479.1873942771048,0.5646316017248358,386.4973455747692,327.104715656058,0.003298477654197995
11,1.1,0.0004771030716447645,300.4116483405833,-299.2968306560309,0.707463578951436,398.7455711693821,329.3443657362442,0.003603636639638808
12,1.2,0.0007360162670751745,300.4940579671013,-144.7382781608407,0.8575876231541426,405.8278353795247,331.4346166853258,0.004159989572258382
13,1.3,0.001053222158541497,300.5811655220742,-17.8904508930846,1.011835375968324,407.5126118837771,333.3475398176778,0.003272589278822124
14,1.4,0.00142126175780668,300.6721617491579,82.45045785969818,1.167218625311522,404.050471253509,335.0622015453104,0.004606025716043405
15,1.5,0.001831951682327352,300.7661646362155,158.7143497762636,1.32147820199544,396.6243001553149,336.5697032126362,0.004376538080066439
16,1.6,0.002278356717350746,300.8622529900613,215.926879864839,1.473391031935563,386.4916336772461,337.8743843300582,0.004179952766151018
17,1.7,0.002756794857022491,300.9594905256279,258.4636174777755,1.622616869835501,374.6656255272192,338.9934072104404,0.004852213855997434
18,1.8,0.003271118604620194,301.0567633672962,290.7594502114879,1.769261955057349,362.046812428916,339.9551232677895,0.004356604290762789
19,1.9,0.00383203538877996,301.1528556619471,316.6562628133482,1.913424300891585,349.3761595307437,340.7898824297917,0.004040497746984784
20,2,0.004446344765600127,301.2470207235705,337.7920164749771,2.054536199972311,337.2229600506125,341.5218773729205,-0.002562823617438426
21,2.1,0.005110419301217975,301.3391834235784,354.2050225043207,2.191571434172655,325.8456954398193,342.1691473738741,-0.001494566997962465
22,2.2,0.005817078261514745,301.4294247834291,366.2710264107846,2.32348587925194,315.2267190673732,342.7448712970653,0.001423867972675907
23,2.3,0.006562090234335227,301.5176538497599,375.2892560611,2.449944514246901,305.3326909455228,343.2582949634078,0.0009786768235926502
24,2.4,0.007350820980556545,301.6033049905647,383.2903023330122,2.571221858663809,296.1718396065897,343.7162651528037,-0.0005982503474228906
25,2.5,0.008186854241912518,301.6860528716504,390.623064836037,2.687942567834185,287.7976076932504,344.1246353455808,0.002394392326834804
26,2.6,0.009065030988248785,301.7661121618793,396.192276940569,2.800933417137561,280.1343952110201,344.4888022077633,0.0002857842936805355
27,2.7,0.009975388434969718,301.8439057977168,399.2304144898564,2.911070632954341,273.1047424540216,344.8140190552309,0.0004963083251823264
28,2.8,0.01090621348640205,301.9198913805168,399.6364512861875,3.019180337687401,266.5358302729391,345.1053893426013,-0.0009191990096724112
29,2.9,0.01184749748190455,301.9944087272607,397.9162923012602,3.125977357500823,260.3088970709653,345.3677349167997,-0.005214282847418872
30,3,0.01279368502181608,302.0675650217863,394.8277710487346,3.232031904738029,254.4651829936494,345.6053544218777,0.04244454286077826
31,3.1,0.0137414665226982,302.1393945840627,390.762662995544,3.337767776018765,248.9922955673725,345.8219403952213,0.03949176061402682
